Name,Gender,Quantity
Kenia,Female,404
Linda,Female,404
Kenna,Female,403
Faye,Female,401
Reina,Female,401
Brittany,Female,400
Marina,Female,400
Astrid,Female,399
Kadence,Female,399
Mikaela,Female,399
Jaelyn,Female,398
Briar,Female,397
Kaylie,Female,396
Teresa,Female,395
Bria,Female,394
Hadassah,Female,393
Lilianna,Female,393
Guadalupe,Female,391
Rayna,Female,391
Chanel,Female,390
Lyra,Female,390
Noa,Female,389
Zariyah,Female,389
Laylah,Female,388
Aubrielle,Female,386
Aniya,Female,385
Livia,Female,385
Ellen,Female,383
Meadow,Female,383
Amiya,Female,380
Ellis,Female,380
Elora,Female,380
Milan,Female,380
Hunter,Female,379
Princess,Female,379
Leanna,Female,378
Nathalie,Female,378
Clementine,Female,377
Nola,Female,374
Tenley,Female,374
Simone,Female,373
Lina,Female,372
Marianna,Female,370
Martha,Female,370
Sariah,Female,370
Louisa,Female,369
Noemi,Female,369
Emmeline,Female,368
Kenley,Female,368
Belen,Female,367
Erika,Female,365
Myah,Female,364
Lara,Female,363
Amani,Female,362
Ansley,Female,362
Everlee,Female,362
Maleah,Female,362
Salma,Female,361
Jaelynn,Female,358
Kiera,Female,356
Dulce,Female,355
Nala,Female,355
Natasha,Female,355
Averi,Female,354
Mercy,Female,354
Penny,Female,354
Ariadne,Female,353
Deborah,Female,353
Elisabeth,Female,353
Zaria,Female,353
Hana,Female,352
Kairi,Female,352
Yareli,Female,352
Raina,Female,351
Ryann,Female,349
Lexie,Female,348
Thalia,Female,348
Karter,Female,347
Annabel,Female,346
Christine,Female,346
Estella,Female,346
Keyla,Female,345
Adele,Female,344
Aya,Female,344
Estelle,Female,344
Landry,Female,344
Tori,Female,344
Perla,Female,343
Lailah,Female,342
Miah,Female,342
Rylan,Female,341
Angelique,Female,340
Avalynn,Female,340
Romina,Female,339
Ari,Female,337
Jaycee,Female,337
Jaylene,Female,336
Kai,Female,336
Louise,Female,336
Mavis,Female,336
Scarlette,Female,336
Belle,Female,335
Lea,Female,335
Nalani,Female,335
Rivka,Female,335
Ayleen,Female,334
Calliope,Female,334
Dalary,Female,334
Zaniyah,Female,334
Kaelyn,Female,332
Sky,Female,332
Jewel,Female,331
Joselyn,Female,330
Madalynn,Female,330
Paola,Female,330
Giovanna,Female,329
Isabela,Female,328
Karlee,Female,328
Aubriella,Female,327
Azariah,Female,327
Tinley,Female,327
Dream,Female,326
Claudia,Female,325
Corinne,Female,325
Erica,Female,325
Milena,Female,325
Aliana,Female,324
Kallie,Female,324
Alyson,Female,323
Joyce,Female,323
Tinsley,Female,323
Whitney,Female,323
Emilee,Female,322
Paisleigh,Female,322
Carolyn,Female,321
Jaylee,Female,321
Zoie,Female,321
Frankie,Female,320
Andi,Female,319
Judith,Female,319
Paula,Female,319
Xiomara,Female,319
Aiyana,Female,318
Amia,Female,318
Analia,Female,318
Audrina,Female,318
Hadlee,Female,318
Rayne,Female,318
Amayah,Female,317
Cara,Female,317
Celia,Female,317
Lyanna,Female,317
Opal,Female,317
Amaris,Female,316
Clare,Female,315
Gwen,Female,315
Giana,Female,314
Veda,Female,314
Alisha,Female,313
Davina,Female,313
Rhea,Female,313
Sariyah,Female,313
Noor,Female,311
Danica,Female,310
Kathleen,Female,310
Lillianna,Female,310
Lindsey,Female,310
Maxine,Female,309
Paulina,Female,309
Hailee,Female,308
Harleigh,Female,308
Nancy,Female,308
Jessa,Female,307
Raquel,Female,307
Raylee,Female,307
Zainab,Female,307
Chana,Female,306
Lisa,Female,305
Heavenly,Female,304
Oaklynn,Female,304
Aminah,Female,303
Emmalynn,Female,302
Patricia,Female,302
India,Female,300
Janessa,Female,300
Paloma,Female,299
Ramona,Female,299
Sandra,Female,299
Abril,Female,297
Emmaline,Female,297
Itzayana,Female,297
Kassandra,Female,297
Vienna,Female,297
Marleigh,Female,296
Kailyn,Female,294
